X , Y 
0,5.0
1,7.0
2,13.0
3,23.0
4,37.0
5,55.0
6,77.0
7,103.0
8,133.0
9,167.0
10,205.0
11,247.0
12,293.0
13,343.0
14,397.0
15,455.0
16,517.0
17,583.0
18,653.0
19,727.0
20,805.0
21,887.0
22,973.0
23,1063.0
24,1157.0
25,1255.0
26,1357.0
27,1463.0
28,1573.0
29,1687.0
30,1805.0
31,1927.0
32,2053.0
33,2183.0
34,2317.0
35,2455.0
36,2597.0
37,2743.0
38,2893.0
39,3047.0
40,3205.0
41,3367.0
42,3533.0
43,3703.0
44,3877.0
45,4055.0
46,4237.0
47,4423.0
48,4613.0
49,4807.0
50,5005.0
51,5207.0
52,5413.0
53,5623.0
54,5837.0
55,6055.0
56,6277.0
57,6503.0
58,6733.0
59,6967.0
60,7205.0
61,7447.0
62,7693.0
63,7943.0
64,8197.0
65,8455.0
66,8717.0
67,8983.0
68,9253.0
69,9527.0
70,9805.0
71,10087.0
72,10373.0
73,10663.0
74,10957.0
75,11255.0
76,11557.0
77,11863.0
78,12173.0
79,12487.0
80,12805.0
81,13127.0
82,13453.0
83,13783.0
84,14117.0
85,14455.0
86,14797.0
87,15143.0
88,15493.0
89,15847.0
90,16205.0
91,16567.0
92,16933.0
93,17303.0
94,17677.0
95,18055.0
96,18437.0
97,18823.0
98,19213.0
99,19607.0
100,20005.0
101,20407.0
102,20813.0
103,21223.0
104,21637.0
105,22055.0
106,22477.0
107,22903.0
108,23333.0
109,23767.0
110,24205.0
111,24647.0
112,25093.0
113,25543.0
114,25997.0
115,26455.0
116,26917.0
117,27383.0
118,27853.0
119,28327.0
120,28805.0
121,29287.0
122,29773.0
123,30263.0
124,30757.0
125,31255.0
126,31757.0
127,32263.0
128,32773.0
129,33287.0
130,33805.0
131,34327.0
132,34853.0
133,35383.0
134,35917.0
135,36455.0
136,36997.0
137,37543.0
138,38093.0
139,38647.0
140,39205.0
141,39767.0
142,40333.0
143,40903.0
144,41477.0
145,42055.0
146,42637.0
147,43223.0
148,43813.0
149,44407.0
150,45005.0
151,45607.0
152,46213.0
153,46823.0
154,47437.0
155,48055.0
156,48677.0
157,49303.0
158,49933.0
159,50567.0
160,51205.0
161,51847.0
162,52493.0
163,53143.0
164,53797.0
165,54455.0
166,55117.0
167,55783.0
168,56453.0
169,57127.0
170,57805.0
171,58487.0
172,59173.0
173,59863.0
174,60557.0
175,61255.0
176,61957.0
177,62663.0
178,63373.0
179,64087.0
180,64805.0
181,65527.0
182,66253.0
183,66983.0
184,67717.0
185,68455.0
186,69197.0
187,69943.0
188,70693.0
189,71447.0
190,72205.0
191,72967.0
192,73733.0
193,74503.0
194,75277.0
195,76055.0
196,76837.0
197,77623.0
198,78413.0
199,79207.0
200,80005.0
201,80807.0
202,81613.0
203,82423.0
204,83237.0
205,84055.0
206,84877.0
207,85703.0
208,86533.0
209,87367.0
210,88205.0
211,89047.0
212,89893.0
213,90743.0
214,91597.0
215,92455.0
216,93317.0
217,94183.0
218,95053.0
219,95927.0
220,96805.0
221,97687.0
222,98573.0
223,99463.0
224,100357.0
225,101255.0
226,102157.0
227,103063.0
228,103973.0
229,104887.0
230,105805.0
231,106727.0
232,107653.0
233,108583.0
234,109517.0
235,110455.0
236,111397.0
237,112343.0
238,113293.0
239,114247.0
240,115205.0
241,116167.0
242,117133.0
243,118103.0
244,119077.0
245,120055.0
246,121037.0
247,122023.0
248,123013.0
249,124007.0
250,125005.0
251,126007.0
252,127013.0
253,128023.0
254,129037.0
255,130055.0
256,131077.0
257,132103.0
258,133133.0
259,134167.0
260,135205.0
261,136247.0
262,137293.0
263,138343.0
264,139397.0
265,140455.0
266,141517.0
267,142583.0
268,143653.0
269,144727.0
270,145805.0
271,146887.0
272,147973.0
273,149063.0
274,150157.0
275,151255.0
276,152357.0
277,153463.0
278,154573.0
279,155687.0
280,156805.0
281,157927.0
282,159053.0
283,160183.0
284,161317.0
285,162455.0
286,163597.0
287,164743.0
288,165893.0
289,167047.0
290,168205.0
291,169367.0
292,170533.0
293,171703.0
294,172877.0
295,174055.0
296,175237.0
297,176423.0
298,177613.0
299,178807.0
300,180005.0
301,181207.0
302,182413.0
303,183623.0
304,184837.0
305,186055.0
306,187277.0
307,188503.0
308,189733.0
309,190967.0
310,192205.0
311,193447.0
312,194693.0
313,195943.0
314,197197.0
315,198455.0
316,199717.0
317,200983.0
318,202253.0
319,203527.0
320,204805.0
321,206087.0
322,207373.0
323,208663.0
324,209957.0
325,211255.0
326,212557.0
327,213863.0
328,215173.0
329,216487.0
330,217805.0
331,219127.0
332,220453.0
333,221783.0
334,223117.0
335,224455.0
336,225797.0
337,227143.0
338,228493.0
339,229847.0
340,231205.0
341,232567.0
342,233933.0
343,235303.0
344,236677.0
345,238055.0
346,239437.0
347,240823.0
348,242213.0
349,243607.0
350,245005.0
351,246407.0
352,247813.0
353,249223.0
354,250637.0
355,252055.0
356,253477.0
357,254903.0
358,256333.0
359,257767.0
360,259205.0
361,260647.0
362,262093.0
363,263543.0
364,264997.0
365,266455.0
366,267917.0
367,269383.0
368,270853.0
369,272327.0
370,273805.0
371,275287.0
372,276773.0
373,278263.0
374,279757.0
375,281255.0
376,282757.0
377,284263.0
378,285773.0
379,287287.0
380,288805.0
381,290327.0
382,291853.0
383,293383.0
384,294917.0
385,296455.0
386,297997.0
387,299543.0
388,301093.0
389,302647.0
390,304205.0
391,305767.0
392,307333.0
393,308903.0
394,310477.0
395,312055.0
396,313637.0
397,315223.0
398,316813.0
399,318407.0
400,320005.0
401,321607.0
402,323213.0
403,324823.0
404,326437.0
405,328055.0
406,329677.0
407,331303.0
408,332933.0
409,334567.0
410,336205.0
411,337847.0
412,339493.0
413,341143.0
414,342797.0
415,344455.0
416,346117.0
417,347783.0
418,349453.0
419,351127.0
420,352805.0
421,354487.0
422,356173.0
423,357863.0
424,359557.0
425,361255.0
426,362957.0
427,364663.0
428,366373.0
429,368087.0
430,369805.0
431,371527.0
432,373253.0
433,374983.0
434,376717.0
435,378455.0
436,380197.0
437,381943.0
438,383693.0
439,385447.0
440,387205.0
441,388967.0
442,390733.0
443,392503.0
444,394277.0
445,396055.0
446,397837.0
447,399623.0
448,401413.0
449,403207.0
450,405005.0
451,406807.0
452,408613.0
453,410423.0
454,412237.0
455,414055.0
456,415877.0
457,417703.0
458,419533.0
459,421367.0
460,423205.0
461,425047.0
462,426893.0
463,428743.0
464,430597.0
465,432455.0
466,434317.0
467,436183.0
468,438053.0
469,439927.0
470,441805.0
471,443687.0
472,445573.0
473,447463.0
474,449357.0
475,451255.0
476,453157.0
477,455063.0
478,456973.0
479,458887.0
480,460805.0
481,462727.0
482,464653.0
483,466583.0
484,468517.0
485,470455.0
486,472397.0
487,474343.0
488,476293.0
489,478247.0
490,480205.0
491,482167.0
492,484133.0
493,486103.0
494,488077.0
495,490055.0
496,492037.0
497,494023.0
498,496013.0
499,498007.0
500,500005.0
501,502007.0
502,504013.0
503,506023.0
504,508037.0
505,510055.0
506,512077.0
507,514103.0
508,516133.0
509,518167.0
510,520205.0
511,522247.0
512,524293.0
513,526343.0
514,528397.0
515,530455.0
516,532517.0
517,534583.0
518,536653.0
519,538727.0
520,540805.0
521,542887.0
522,544973.0
523,547063.0
524,549157.0
525,551255.0
526,553357.0
527,555463.0
528,557573.0
529,559687.0
530,561805.0
531,563927.0
532,566053.0
533,568183.0
534,570317.0
535,572455.0
536,574597.0
537,576743.0
538,578893.0
539,581047.0
540,583205.0
541,585367.0
542,587533.0
543,589703.0
544,591877.0
545,594055.0
546,596237.0
547,598423.0
548,600613.0
549,602807.0
550,605005.0
