X , Y 
0.0,5.0
1.0,6.0
2.0,9.0
3.0,14.0
4.0,21.0
5.0,30.0
6.0,41.0
7.0,54.0
8.0,69.0
9.0,86.0
10.0,105.0
11.0,126.0
12.0,149.0
13.0,174.0
14.0,201.0
15.0,230.0
16.0,261.0
17.0,294.0
18.0,329.0
19.0,366.0
20.0,405.0
21.0,446.0
22.0,489.0
23.0,534.0
24.0,581.0
25.0,630.0
26.0,681.0
27.0,734.0
28.0,789.0
29.0,846.0
30.0,905.0
31.0,966.0
32.0,1029.0
33.0,1094.0
34.0,1161.0
35.0,1230.0
36.0,1301.0
37.0,1374.0
38.0,1449.0
39.0,1526.0
40.0,1605.0
41.0,1686.0
42.0,1769.0
43.0,1854.0
44.0,1941.0
45.0,2030.0
46.0,2121.0
47.0,2214.0
48.0,2309.0
49.0,2406.0
50.0,2505.0
51.0,2606.0
52.0,2709.0
53.0,2814.0
54.0,2921.0
55.0,3030.0
56.0,3141.0
57.0,3254.0
58.0,3369.0
59.0,3486.0
60.0,3605.0
61.0,3726.0
62.0,3849.0
63.0,3974.0
64.0,4101.0
65.0,4230.0
66.0,4361.0
67.0,4494.0
68.0,4629.0
69.0,4766.0
70.0,4905.0
71.0,5046.0
72.0,5189.0
73.0,5334.0
74.0,5481.0
75.0,5630.0
76.0,5781.0
77.0,5934.0
78.0,6089.0
79.0,6246.0
80.0,6405.0
81.0,6566.0
82.0,6729.0
83.0,6894.0
84.0,7061.0
85.0,7230.0
86.0,7401.0
87.0,7574.0
88.0,7749.0
89.0,7926.0
90.0,8105.0
91.0,8286.0
92.0,8469.0
93.0,8654.0
94.0,8841.0
95.0,9030.0
96.0,9221.0
97.0,9414.0
98.0,9609.0
99.0,9806.0
100.0,10005.0
101.0,10206.0
102.0,10409.0
103.0,10614.0
104.0,10821.0
105.0,11030.0
106.0,11241.0
107.0,11454.0
108.0,11669.0
109.0,11886.0
110.0,12105.0
111.0,12326.0
112.0,12549.0
113.0,12774.0
114.0,13001.0
115.0,13230.0
116.0,13461.0
117.0,13694.0
118.0,13929.0
119.0,14166.0
120.0,14405.0
121.0,14646.0
122.0,14889.0
123.0,15134.0
124.0,15381.0
125.0,15630.0
126.0,15881.0
127.0,16134.0
128.0,16389.0
129.0,16646.0
130.0,16905.0
131.0,17166.0
132.0,17429.0
133.0,17694.0
134.0,17961.0
135.0,18230.0
136.0,18501.0
137.0,18774.0
138.0,19049.0
139.0,19326.0
140.0,19605.0
141.0,19886.0
142.0,20169.0
143.0,20454.0
144.0,20741.0
145.0,21030.0
146.0,21321.0
147.0,21614.0
148.0,21909.0
149.0,22206.0
150.0,22505.0
151.0,22806.0
152.0,23109.0
153.0,23414.0
154.0,23721.0
155.0,24030.0
156.0,24341.0
157.0,24654.0
158.0,24969.0
159.0,25286.0
160.0,25605.0
161.0,25926.0
162.0,26249.0
163.0,26574.0
164.0,26901.0
165.0,27230.0
166.0,27561.0
167.0,27894.0
168.0,28229.0
169.0,28566.0
170.0,28905.0
171.0,29246.0
172.0,29589.0
173.0,29934.0
174.0,30281.0
175.0,30630.0
176.0,30981.0
177.0,31334.0
178.0,31689.0
179.0,32046.0
180.0,32405.0
181.0,32766.0
182.0,33129.0
183.0,33494.0
184.0,33861.0
185.0,34230.0
186.0,34601.0
187.0,34974.0
188.0,35349.0
189.0,35726.0
190.0,36105.0
191.0,36486.0
192.0,36869.0
193.0,37254.0
194.0,37641.0
195.0,38030.0
196.0,38421.0
197.0,38814.0
198.0,39209.0
199.0,39606.0
200.0,40005.0
201.0,40406.0
202.0,40809.0
203.0,41214.0
204.0,41621.0
205.0,42030.0
206.0,42441.0
207.0,42854.0
208.0,43269.0
209.0,43686.0
210.0,44105.0
211.0,44526.0
212.0,44949.0
213.0,45374.0
214.0,45801.0
215.0,46230.0
216.0,46661.0
217.0,47094.0
218.0,47529.0
219.0,47966.0
220.0,48405.0
221.0,48846.0
222.0,49289.0
223.0,49734.0
224.0,50181.0
225.0,50630.0
226.0,51081.0
227.0,51534.0
228.0,51989.0
229.0,52446.0
230.0,52905.0
231.0,53366.0
232.0,53829.0
233.0,54294.0
234.0,54761.0
235.0,55230.0
236.0,55701.0
237.0,56174.0
238.0,56649.0
239.0,57126.0
240.0,57605.0
241.0,58086.0
242.0,58569.0
243.0,59054.0
244.0,59541.0
245.0,60030.0
246.0,60521.0
247.0,61014.0
248.0,61509.0
249.0,62006.0
250.0,62505.0
251.0,63006.0
252.0,63509.0
253.0,64014.0
254.0,64521.0
255.0,65030.0
256.0,65541.0
257.0,66054.0
258.0,66569.0
259.0,67086.0
260.0,67605.0
261.0,68126.0
262.0,68649.0
263.0,69174.0
264.0,69701.0
265.0,70230.0
266.0,70761.0
267.0,71294.0
268.0,71829.0
269.0,72366.0
270.0,72905.0
271.0,73446.0
272.0,73989.0
273.0,74534.0
274.0,75081.0
275.0,75630.0
276.0,76181.0
277.0,76734.0
278.0,77289.0
279.0,77846.0
280.0,78405.0
281.0,78966.0
282.0,79529.0
283.0,80094.0
284.0,80661.0
285.0,81230.0
286.0,81801.0
287.0,82374.0
288.0,82949.0
289.0,83526.0
290.0,84105.0
291.0,84686.0
292.0,85269.0
293.0,85854.0
294.0,86441.0
295.0,87030.0
296.0,87621.0
297.0,88214.0
298.0,88809.0
299.0,89406.0
300.0,90005.0
301.0,90606.0
302.0,91209.0
303.0,91814.0
304.0,92421.0
305.0,93030.0
306.0,93641.0
307.0,94254.0
308.0,94869.0
309.0,95486.0
310.0,96105.0
311.0,96726.0
312.0,97349.0
313.0,97974.0
314.0,98601.0
315.0,99230.0
316.0,99861.0
317.0,100494.0
318.0,101129.0
319.0,101766.0
320.0,102405.0
321.0,103046.0
322.0,103689.0
323.0,104334.0
324.0,104981.0
325.0,105630.0
326.0,106281.0
327.0,106934.0
328.0,107589.0
329.0,108246.0
330.0,108905.0
331.0,109566.0
332.0,110229.0
333.0,110894.0
334.0,111561.0
335.0,112230.0
336.0,112901.0
337.0,113574.0
338.0,114249.0
339.0,114926.0
340.0,115605.0
341.0,116286.0
342.0,116969.0
343.0,117654.0
344.0,118341.0
345.0,119030.0
346.0,119721.0
347.0,120414.0
348.0,121109.0
349.0,121806.0
