X , Y 
0.0,-164.0
1.0,-541.0
2.0,299.0
3.0,345.0
4.0,181.0
5.0,-304.0
6.0,437.0
7.0,-60.0
8.0,7.0
9.0,236.0
10.0,-384.0
11.0,-276.0
12.0,9.0
13.0,47.0
14.0,298.0
15.0,424.0
16.0,-314.0
17.0,-137.0
18.0,6.0
19.0,852.0
20.0,938.0
21.0,808.0
22.0,405.0
23.0,140.0
24.0,809.0
25.0,669.0
26.0,598.0
27.0,831.0
28.0,468.0
29.0,369.0
30.0,663.0
31.0,1353.0
32.0,611.0
33.0,1395.0
34.0,1312.0
35.0,1733.0
36.0,914.0
37.0,1037.0
38.0,1658.0
39.0,1403.0
40.0,1867.0
41.0,1207.0
42.0,1303.0
43.0,1966.0
44.0,1545.0
45.0,1902.0
46.0,2479.0
47.0,2069.0
48.0,2814.0
49.0,2356.0
50.0,3006.0
51.0,2314.0
52.0,3274.0
53.0,3016.0
54.0,3248.0
55.0,3377.0
56.0,3183.0
57.0,3756.0
58.0,3421.0
59.0,3190.0
60.0,3874.0
61.0,3355.0
62.0,4091.0
63.0,4561.0
64.0,4480.0
65.0,3868.0
66.0,4540.0
67.0,4475.0
68.0,4467.0
69.0,4598.0
70.0,5480.0
71.0,5384.0
72.0,5302.0
73.0,5867.0
74.0,5435.0
75.0,5205.0
76.0,5347.0
77.0,5998.0
78.0,6538.0
79.0,5886.0
80.0,6543.0
81.0,6883.0
82.0,7156.0
83.0,6304.0
84.0,7468.0
85.0,7804.0
86.0,7488.0
87.0,7543.0
88.0,7493.0
89.0,7373.0
90.0,7755.0
91.0,7805.0
92.0,8090.0
93.0,8179.0
94.0,8917.0
95.0,9237.0
96.0,8861.0
97.0,8991.0
98.0,9147.0
99.0,9657.0
100.0,10032.0
101.0,10746.0
102.0,10158.0
103.0,10672.0
104.0,11000.0
105.0,11281.0
106.0,11319.0
107.0,10951.0
108.0,11283.0
109.0,12447.0
110.0,12316.0
111.0,12520.0
112.0,12916.0
113.0,12805.0
114.0,12494.0
115.0,13191.0
116.0,14047.0
117.0,13216.0
118.0,14384.0
119.0,14337.0
120.0,14526.0
121.0,14310.0
122.0,14983.0
123.0,15169.0
124.0,15405.0
125.0,15606.0
126.0,15978.0
127.0,15538.0
128.0,16768.0
129.0,16240.0
130.0,17274.0
131.0,16767.0
132.0,17714.0
133.0,18026.0
134.0,18469.0
135.0,17871.0
136.0,18515.0
137.0,19338.0
138.0,18467.0
139.0,18924.0
140.0,19560.0
141.0,19349.0
142.0,20112.0
143.0,20705.0
144.0,20950.0
145.0,21019.0
146.0,21166.0
147.0,21815.0
148.0,21589.0
149.0,21684.0
150.0,22529.0
151.0,22915.0
152.0,22619.0
153.0,23945.0
154.0,23751.0
155.0,23792.0
156.0,24506.0
157.0,24602.0
158.0,25463.0
159.0,25752.0
160.0,25668.0
161.0,25806.0
162.0,25778.0
163.0,26609.0
164.0,26599.0
165.0,27452.0
166.0,27103.0
167.0,28093.0
168.0,28813.0
169.0,28135.0
170.0,29318.0
171.0,29577.0
172.0,29110.0
173.0,29953.0
174.0,30429.0
175.0,31005.0
176.0,30567.0
177.0,31596.0
178.0,31705.0
179.0,31566.0
180.0,31852.0
181.0,32200.0
182.0,33406.0
183.0,33116.0
184.0,33891.0
185.0,34449.0
186.0,35059.0
187.0,35269.0
188.0,35368.0
189.0,35497.0
190.0,36309.0
191.0,36856.0
192.0,37226.0
193.0,36711.0
194.0,37619.0
195.0,37533.0
196.0,38424.0
197.0,39090.0
198.0,38644.0
199.0,39124.0
200.0,40089.0
201.0,39943.0
202.0,40654.0
203.0,40664.0
204.0,42113.0
205.0,42064.0
206.0,42465.0
207.0,43013.0
208.0,42933.0
209.0,44121.0
210.0,44428.0
211.0,43997.0
212.0,44363.0
213.0,45538.0
214.0,45606.0
215.0,46239.0
216.0,46292.0
217.0,46729.0
218.0,47467.0
219.0,47851.0
220.0,48044.0
221.0,48320.0
222.0,49578.0
223.0,49674.0
224.0,50038.0
225.0,50072.0
226.0,50808.0
227.0,51030.0
228.0,52103.0
229.0,52832.0
230.0,52509.0
231.0,53759.0
232.0,53893.0
233.0,54789.0
234.0,54954.0
235.0,54819.0
236.0,55599.0
237.0,56277.0
238.0,57045.0
239.0,56937.0
240.0,57665.0
241.0,57869.0
242.0,58562.0
243.0,58634.0
244.0,59760.0
245.0,60341.0
246.0,60723.0
247.0,61567.0
248.0,61768.0
249.0,62295.0
250.0,63092.0
251.0,63411.0
252.0,63661.0
253.0,63765.0
254.0,64566.0
255.0,64744.0
256.0,66137.0
257.0,66580.0
258.0,66867.0
259.0,67135.0
260.0,68201.0
261.0,68641.0
262.0,68248.0
263.0,69461.0
264.0,69104.0
265.0,69799.0
266.0,71221.0
267.0,71165.0
268.0,72024.0
269.0,72958.0
270.0,72959.0
271.0,74025.0
272.0,73886.0
273.0,74595.0
274.0,74715.0
275.0,76067.0
276.0,75613.0
277.0,76305.0
278.0,76870.0
279.0,77797.0
280.0,78062.0
281.0,78701.0
282.0,78963.0
283.0,79586.0
284.0,80151.0
285.0,81146.0
286.0,81934.0
287.0,82135.0
288.0,82761.0
289.0,83279.0
290.0,83576.0
291.0,85061.0
292.0,84822.0
