X , Y 
0,-56608
1,7550
2,76200
3,-46849
4,-67675
5,77410
6,-97325
7,-89781
8,-9541
9,443
10,3951
11,-33325
12,6999
13,66225
14,-25838
15,-35247
16,-29759
17,97885
18,91192
19,17779
20,-59374
21,-3438
22,98016
23,34491
24,17781
25,55829
26,12966
27,40243
28,-41578
29,56749
30,-29283
31,23146
32,23278
33,20946
34,-95979
35,24610
36,54457
37,-93789
38,1905
39,2287
40,74609
41,92806
42,1710
43,-26812
44,93363
45,-91124
46,51595
47,-65352
48,-32786
49,-17204
50,8765
51,-36402
52,-62851
53,-71157
54,-41283
55,35266
56,-17664
57,-78789
58,71630
59,-84161
60,57045
61,65886
62,-26771
63,21151
64,-33101
65,-27070
66,15195
67,84284
68,31800
69,-52315
70,3010
71,62934
72,-69079
73,-35375
74,-57142
75,58148
76,96833
77,36605
78,94121
79,-32323
80,-59898
81,-55753
82,99515
83,-13491
84,-83699
85,-76435
86,26534
87,81905
88,95165
89,100872
90,-12069
91,-70327
92,90937
93,-2899
94,-83464
95,26822
96,28935
97,102629
98,-20111
99,25323
100,-51767
101,-57633
102,81243
103,-63370
104,-87894
105,26364
106,-12363
107,-87346
108,-87639
109,22681
110,-38858
111,-81822
112,-56697
113,-75506
114,62096
115,-1496
116,5059
117,52900
118,82547
119,37386
120,-25284
121,-61550
122,71007
123,78007
124,16126
125,95327
126,90067
127,113182
128,99005
129,102691
130,68814
131,-11987
132,-76073
133,94441
134,70994
135,-5987
136,-45826
137,27944
138,-26704
139,-62328
140,-68073
141,85796
142,85635
143,41606
144,37176
145,26873
146,-8140
147,26367
148,20959
149,-41204
150,-13834
151,-52511
152,37181
153,44328
154,32008
155,-11821
156,28389
157,97102
158,9474
159,-61979
160,-57391
161,-53624
162,96004
163,28841
164,76144
165,-23169
166,-2563
167,110274
168,-57148
169,-53779
170,45015
171,88056
172,-19534
173,-16419
174,-56109
175,-61816
176,24103
177,-2652
178,-23410
179,-35219
180,12705
181,40340
182,40257
183,67542
184,-62497
185,122832
186,-12831
187,-61643
188,90511
189,45660
190,-63040
191,8843
192,108571
193,-28540
194,4656
195,-30555
196,59351
197,-46620
198,24014
199,118573
200,67087
201,23403
202,13942
203,13603
204,156
205,-14221
206,-52636
207,7369
208,-44250
209,9410
210,-1360
211,30264
212,29865
213,-34194
214,5903
215,47722
216,5939
217,40536
218,63066
219,3178
